,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Caravelas,-17.7125,-39.2481,296.55,86,85,2.04,BR,1611722895
1,Ode,7.7899,5.7117,291.68,78,42,1.24,NG,1611722895
2,Busselton,-33.65,115.3333,295.37,50,0,2.24,AU,1611722895
3,Rikitea,-23.1203,-134.9692,299.93,73,21,3.73,PF,1611722896
4,Grand Gaube,-20.0064,57.6608,301.48,67,43,0.89,MU,1611722896
5,Formosa do Rio Preto,-11.0483,-45.1931,297.45,56,70,1.78,BR,1611722897
6,Coyhaique,-45.5752,-72.0662,281.15,100,90,1.91,CL,1611722893
7,Saint George,37.1041,-113.5841,276.15,81,90,1.54,US,1611722787
8,Ronneby,56.21,15.276,267.15,100,75,1.54,SE,1611722898
9,Marzuq,14.4,46.4667,290.34,28,0,1.35,YE,1611722898
10,Puerto Ayora,-0.7393,-90.3518,298.15,95,49,1.79,EC,1611722899
11,Mumbai,19.0144,72.8479,296.15,56,58,2.18,IN,1611722622
12,Anshun,26.25,105.9333,279.06,84,99,4.17,CN,1611722899
13,Hobart,-42.8794,147.3294,290.37,47,75,5.66,AU,1611722887
14,Atuona,-9.8,-139.0333,299.12,75,1,7.93,PF,1611722900
15,Laas,46.6166,10.7002,269.82,73,48,2.59,IT,1611722901
16,Bambous Virieux,-20.3428,57.7575,301.48,69,20,1.54,MU,1611722902
17,Klamath Falls,42.2249,-121.7817,271.15,69,90,5.66,US,1611722619
18,Qaanaaq,77.484,-69.3632,246.73,63,0,3.17,GL,1611722902
19,Golspie,57.9727,-3.978,274.26,97,100,2.63,GB,1611722902
20,Jamestown,42.097,-79.2353,270.93,93,90,2.88,US,1611722649
21,Albany,42.6001,-73.9662,270.37,79,100,1.54,US,1611722903
22,Kavieng,-2.5744,150.7967,302.34,74,93,4.62,PG,1611722903
23,Lázaro Cárdenas,17.9583,-102.2,295.05,86,82,1.79,MX,1611722904
24,Mar del Plata,-38.0023,-57.5575,292.59,94,75,3.6,AR,1611722904
25,Touros,-5.1989,-35.4608,298.68,82,44,6.01,BR,1611722904
26,Cabo San Lucas,22.8909,-109.9124,288.15,73,100,5.36,MX,1611722905
27,East London,-33.0153,27.9116,292.15,88,20,2.06,ZA,1611722905
28,Ribeira Grande,38.5167,-28.7,289.99,79,40,13.9,PT,1611722906
29,Guerrero Negro,27.9769,-114.0611,286.06,61,64,3.68,MX,1611722906
30,Verkhnevilyuysk,63.4453,120.3167,231.31,79,74,1.67,RU,1611722906
31,Ushuaia,-54.8,-68.3,277.15,75,75,10.29,AR,1611722907
32,Puma,-5.0,34.7333,289.22,92,12,3.68,TZ,1611722907
33,Puerto Ayacucho,5.6639,-67.6236,296.98,78,73,2.09,VE,1611722907
34,Rabo de Peixe,37.8,-25.5833,290.37,94,75,10.8,PT,1611722907
35,Tuktoyaktuk,69.4541,-133.0374,247.15,84,90,7.2,CA,1611722908
36,Farmington,36.7281,-108.2187,269.15,74,40,1.96,US,1611722908
37,Kapaa,22.0752,-159.319,297.15,83,40,7.2,US,1611722909
38,Twin Falls,42.3505,-114.6445,268.15,86,1,4.12,US,1611722909
39,Los Llanos de Aridane,28.6585,-17.9182,291.15,72,75,4.63,ES,1611722909
40,Katangli,51.7102,143.2326,260.73,95,100,5.98,RU,1611722910
41,Horqueta,-23.3428,-57.0597,296.25,97,95,1.7,PY,1611722910
42,Yellowknife,62.456,-114.3525,249.26,77,90,3.09,CA,1611722620
43,Nanortalik,60.1432,-45.2371,263.68,82,0,1.69,GL,1611722911
44,Okakarara,-20.5833,17.4333,293.01,76,100,4.14,NA,1611722912
45,Aranos,-24.1333,19.1167,296.12,57,40,3.28,NA,1611722912
46,Mūlki,13.1,74.8,300.15,65,20,2.57,IN,1611722790
47,Chicama,-7.8447,-79.1469,295.15,73,100,2.24,PE,1611722912
48,Kaitangata,-46.2817,169.8464,294.99,50,100,3.41,NZ,1611722913
49,Sioux Lookout,50.1001,-91.917,246.15,83,40,1.54,CA,1611722913
50,Geraldton,-28.7667,114.6,296.56,61,45,8.15,AU,1611722914
51,Tuatapere,-46.1333,167.6833,287.04,93,93,6.26,NZ,1611722914
52,Kamenka,51.3223,42.7678,274.25,98,100,8.36,RU,1611722915
53,George Town,5.4112,100.3354,304.15,66,20,2.06,MY,1611722915
54,Chokurdakh,70.6333,147.9167,239.42,84,96,3.83,RU,1611722915
55,Khatanga,71.9667,102.5,240.79,81,31,4.06,RU,1611722916
56,Barrow,71.2906,-156.7887,245.15,76,90,3.6,US,1611722916
57,Mezen',65.8522,44.24,266.78,98,100,2.79,RU,1611722916
58,Adeje,28.1227,-16.726,290.15,77,20,5.14,ES,1611722916
59,Taltal,-25.4,-70.4833,292.37,64,0,2.18,CL,1611722917
60,Hermanus,-34.4187,19.2345,290.37,95,80,0.45,ZA,1611722917
61,San Miguel,13.4833,-88.1833,296.4,71,0,1.04,SV,1611722917
62,Poshekhon'ye,58.4993,39.1353,273.16,98,100,4.43,RU,1611722917
63,Hithadhoo,-0.6,73.0833,299.93,80,91,6.79,MV,1611722918
64,Kysyl-Syr,63.8986,122.7617,231.19,78,100,2.29,RU,1611722918
65,Yar-Sale,66.8333,70.8333,235.04,81,0,5.43,RU,1611722918
66,Iqaluit,63.7506,-68.5145,252.59,71,1,5.66,CA,1611722919
67,Lukovetskiy,64.2956,41.9211,272.15,93,90,3.0,RU,1611722919
68,Kalmunai,7.4167,81.8167,299.52,73,95,5.58,LK,1611722919
69,Hasaki,35.7333,140.8333,285.37,87,75,2.57,JP,1611722919
70,Eisenerz,47.5333,14.8833,268.15,80,20,2.06,AT,1611722920
71,Provideniya,64.3833,-173.3,260.15,72,90,10.0,RU,1611722920
72,Castro,-24.7911,-50.0119,290.59,94,91,1.76,BR,1611722920
73,Cidreira,-30.1811,-50.2056,297.31,86,100,1.99,BR,1611722920
74,Port Alfred,-33.5906,26.891,293.15,96,100,0.45,ZA,1611722921
75,City of San Pedro,14.35,121.0167,302.59,78,90,2.57,PH,1611722921
76,Honningsvåg,70.9821,25.9704,270.15,74,75,10.29,NO,1611722921
77,Leningradskiy,69.3833,178.4167,243.29,86,93,1.63,RU,1611722922
78,Oyama,36.3,139.8,289.82,72,75,2.06,JP,1611722885
79,Karakol,42.4907,78.3936,268.14,83,0,0.11,KG,1611722923
80,Saint-Philippe,-21.3585,55.7679,303.15,45,0,2.57,RE,1611722923
81,Cape Town,-33.9258,18.4232,292.59,82,40,6.17,ZA,1611722825
82,Bethel,41.3712,-73.414,271.48,93,90,1.54,US,1611722923
83,Kikwit,-5.041,18.8162,293.79,95,75,0.56,CD,1611722924
84,Hervey Bay,-25.2986,152.8535,304.26,45,40,6.69,AU,1611722924
85,Berbera,10.4396,45.0143,296.48,65,99,2.05,SO,1611722924
86,Nikolskoye,59.7035,30.7861,274.26,93,90,3.0,RU,1611722925
87,Antofagasta,-23.65,-70.4,292.15,77,20,4.12,CL,1611722926
88,Lodja,-3.4833,23.4333,293.56,96,100,0.55,CD,1611722926
89,New Norfolk,-42.7826,147.0587,290.37,35,82,1.34,AU,1611722926
90,Tautira,-17.7333,-149.15,300.15,78,75,1.03,PF,1611722927
91,Dikson,73.5069,80.5464,242.65,86,100,2.87,RU,1611722927
92,Pevek,69.7008,170.3133,239.11,85,29,1.06,RU,1611722927
93,Kutum,14.2,24.6667,284.98,36,10,1.1,SD,1611722928
94,Arraial do Cabo,-22.9661,-42.0278,298.15,78,0,6.17,BR,1611722928
95,Vaini,-21.2,-175.2,297.15,100,90,6.17,TO,1611722928
96,Bluff,-46.6,168.3333,287.04,93,100,6.26,NZ,1611722929
97,Xining,36.6167,101.7667,273.73,52,1,6.12,CN,1611722929
98,Itarema,-2.9248,-39.9167,299.07,84,56,5.23,BR,1611722929
99,Bengkulu,-3.8004,102.2655,298.08,83,100,0.75,ID,1611722930
100,Pervomayskiy,53.2485,40.2871,274.26,87,100,7.9,RU,1611722930
101,Tura,25.5198,90.2201,297.35,37,0,1.07,IN,1611722930
102,Te Anau,-45.4167,167.7167,289.17,92,85,1.44,NZ,1611722930
103,Grajaú,-5.8194,-46.1386,295.82,93,100,1.59,BR,1611722931
104,Saskylakh,71.9167,114.0833,235.06,82,34,0.87,RU,1611722931
105,Ponta do Sol,32.6667,-17.1,290.15,82,75,2.06,PT,1611722931
106,Dudinka,69.4058,86.1778,245.25,88,100,2.82,RU,1611722931
107,Yangi Marg`ilon,40.4272,71.7189,272.15,74,7,1.29,UZ,1611722932
108,Øksfjord,70.2396,22.3479,268.15,85,90,4.21,NO,1611722932
109,Portland,45.5234,-122.6762,277.59,75,90,11.32,US,1611722903
110,Avarua,-21.2078,-159.775,301.15,74,40,9.26,CK,1611722897
111,Punta Arenas,-53.15,-70.9167,279.15,65,90,8.23,CL,1611722933
112,Sitka,57.0531,-135.33,270.15,50,1,3.09,US,1611722933
113,Atambua,-9.1061,124.8925,301.15,67,93,3.5,ID,1611722934
114,Port Elizabeth,-33.918,25.5701,294.26,85,100,1.34,ZA,1611722682
115,Mataura,-46.1927,168.8643,287.04,93,99,6.26,NZ,1611722934
116,Nizhnevartovsk,60.9344,76.5531,245.15,76,0,2.0,RU,1611722935
117,Rio Pardo de Minas,-15.6097,-42.5397,290.61,93,66,3.29,BR,1611722935
118,Padang,-0.9492,100.3543,304.15,66,20,2.57,ID,1611722935
119,Gorin,51.1983,136.6669,252.2,88,100,4.07,RU,1611722935
120,Pochutla,15.7432,-96.4661,297.04,70,0,1.79,MX,1611722936
121,Fortuna,40.5982,-124.1573,278.15,93,75,10.29,US,1611722936
122,Hofn,64.2539,-15.2082,270.57,89,100,10.05,IS,1611722936
123,Esperance,-33.8667,121.9,292.15,72,90,8.23,AU,1611722936
124,Tsabong,-26.0217,22.401,296.72,72,88,3.95,BW,1611722937
125,Lavrentiya,65.5833,-171.0,253.31,88,69,1.95,RU,1611722937
126,Zhigansk,66.7697,123.3711,229.75,76,57,3.88,RU,1611722938
127,Lompoc,34.6391,-120.4579,283.15,66,90,2.57,US,1611722848
128,İzmit,40.7669,29.9169,291.15,42,75,5.14,TR,1611722939
129,Broome,42.2506,-75.833,272.04,93,90,1.39,US,1611722939
130,Ilulissat,69.2167,-51.1,256.05,92,96,1.66,GL,1611722939
131,Marystown,47.1666,-55.1483,272.94,95,89,6.52,CA,1611722940
132,Butaritari,3.0707,172.7902,300.38,77,12,4.94,KI,1611722940
133,Salalah,17.0151,54.0924,296.15,31,0,3.09,OM,1611722941
